time,x,y,value
25200,144.45,-37.66,1
39600,144.45,-37.66,2
57600,144.45,-37.66,1
61200,144.45,-37.66,1
64800,144.45,-37.66,1
68400,144.45,-37.66,1
54000,144.45,-37.65,1
14400,144.45,-37.58,1
46800,144.45,-37.57,1
61200,144.45,-37.57,1
14400,144.45,-37.56,1
25200,144.45,-37.56,1
75600,144.45,-37.56,1
54000,144.45,-37.33,1
28800,144.45,-37.24,1
32400,144.45,-37.24,1
50400,144.45,-37.24,2
46800,144.46,-38.20,1
18000,144.46,-38.01,2
21600,144.46,-38.01,2
28800,144.46,-38.01,1
43200,144.46,-38.01,1
54000,144.46,-38.01,4
61200,144.46,-38.01,1
64800,144.46,-38.01,1
14400,144.46,-38.00,1
57600,144.46,-38.00,1
43200,144.46,-37.97,1
43200,144.46,-37.96,1
50400,144.46,-37.95,1
61200,144.46,-37.95,1
28800,144.46,-37.78,1
28800,144.46,-37.68,1
43200,144.46,-37.68,3
50400,144.46,-37.68,1
54000,144.46,-37.68,1
57600,144.46,-37.68,1
64800,144.46,-37.68,1
68400,144.46,-37.68,1
79200,144.46,-37.68,2
21600,144.46,-37.67,1
32400,144.46,-37.67,1
36000,144.46,-37.67,1
39600,144.46,-37.67,2
43200,144.46,-37.67,1
46800,144.46,-37.67,1
50400,144.46,-37.67,3
54000,144.46,-37.67,1
57600,144.46,-37.67,3
32400,144.46,-37.66,1
39600,144.46,-37.66,1
57600,144.46,-37.66,1
64800,144.46,-37.66,1
68400,144.46,-37.66,1
28800,144.46,-37.63,1
39600,144.46,-37.63,1
43200,144.46,-37.63,1
36000,144.46,-37.62,1
46800,144.46,-37.62,1
14400,144.46,-37.54,1
36000,144.46,-37.25,1
82800,144.46,-37.25,1
36000,144.47,-38.02,1
18000,144.47,-38.01,1
28800,144.47,-38.01,1
32400,144.47,-38.01,1
39600,144.47,-38.01,1
57600,144.47,-38.01,2
21600,144.47,-38.00,3
36000,144.47,-38.00,1
57600,144.47,-38.00,2
61200,144.47,-38.00,2
68400,144.47,-38.00,1
39600,144.47,-37.70,1
28800,144.47,-37.68,2
32400,144.47,-37.68,1
36000,144.47,-37.68,3
39600,144.47,-37.68,1
43200,144.47,-37.68,1
50400,144.47,-37.68,2
57600,144.47,-37.68,1
72000,144.47,-37.68,1
79200,144.47,-37.68,1
43200,144.47,-37.63,1
46800,144.47,-37.61,1
50400,144.47,-37.61,1
54000,144.47,-37.54,1
25200,144.47,-37.53,1
36000,144.47,-37.53,1
39600,144.47,-37.53,1
43200,144.47,-37.53,1
64800,144.47,-37.53,1
46800,144.47,-37.52,1
28800,144.47,-37.51,1
25200,144.48,-38.02,1
54000,144.48,-38.02,1
68400,144.48,-38.02,1
18000,144.48,-38.01,1
39600,144.48,-38.01,1
54000,144.48,-38.01,1
18000,144.48,-38.00,1
28800,144.48,-38.00,1
32400,144.48,-38.00,1
39600,144.48,-38.00,1
46800,144.48,-38.00,1
50400,144.48,-38.00,1
54000,144.48,-38.00,2
57600,144.48,-38.00,3
61200,144.48,-38.00,3
64800,144.48,-38.00,1
82800,144.48,-38.00,1
61200,144.48,-37.79,1
18000,144.48,-37.68,1
25200,144.48,-37.68,1
32400,144.48,-37.68,1
39600,144.48,-37.68,1
43200,144.48,-37.68,1
46800,144.48,-37.68,2
50400,144.48,-37.68,2
54000,144.48,-37.68,2
61200,144.48,-37.68,1
64800,144.48,-37.68,1
72000,144.48,-37.68,1
25200,144.48,-37.67,1
50400,144.48,-37.67,1
72000,144.48,-37.67,1
54000,144.48,-37.66,1
25200,144.48,-37.65,2
54000,144.48,-37.63,1
54000,144.48,-37.50,1
28800,144.48,-37.27,1
36000,144.48,-37.27,1
72000,144.48,-37.27,1
50400,144.49,-38.28,1
25200,144.49,-38.00,1
32400,144.49,-38.00,2
36000,144.49,-38.00,2
39600,144.49,-38.00,2
43200,144.49,-38.00,2
46800,144.49,-38.00,1
50400,144.49,-38.00,1
54000,144.49,-38.00,2
57600,144.49,-38.00,2
64800,144.49,-38.00,1
68400,144.49,-38.00,1
75600,144.49,-38.00,1
79200,144.49,-38.00,1
32400,144.49,-37.99,3
36000,144.49,-37.99,1
39600,144.49,-37.99,1
46800,144.49,-37.99,1
61200,144.49,-37.99,1
68400,144.49,-37.99,2
72000,144.49,-37.99,1
54000,144.49,-37.96,1
72000,144.49,-37.96,1
36000,144.49,-37.94,1
72000,144.49,-37.80,1
28800,144.49,-37.68,1
32400,144.49,-37.68,2
36000,144.49,-37.68,2
43200,144.49,-37.68,1
50400,144.49,-37.68,1
54000,144.49,-37.68,2
57600,144.49,-37.68,1
64800,144.49,-37.68,1
75600,144.49,-37.68,1
39600,144.49,-37.28,1
79200,144.49,-37.28,1
50400,144.50,-38.05,1
25200,144.50,-37.99,3
36000,144.50,-37.99,1
39600,144.50,-37.99,2
43200,144.50,-37.99,2
50400,144.50,-37.99,2
57600,144.50,-37.99,2
61200,144.50,-37.99,3
64800,144.50,-37.99,2
68400,144.50,-37.99,2
75600,144.50,-37.99,1
50400,144.50,-37.96,1
54000,144.50,-37.96,1
75600,144.50,-37.96,1
43200,144.50,-37.70,1
21600,144.50,-37.69,1
39600,144.50,-37.69,1
72000,144.50,-37.69,1
25200,144.50,-37.68,1
28800,144.50,-37.68,1
32400,144.50,-37.68,1
46800,144.50,-37.68,1
57600,144.50,-37.68,1
61200,144.50,-37.68,1
68400,144.50,-37.68,1
75600,144.50,-37.68,1
32400,144.50,-37.67,1
64800,144.50,-37.67,1
61200,144.50,-37.64,1
50400,144.50,-37.59,1
36000,144.50,-37.29,1
43200,144.50,-37.29,1
50400,144.50,-37.29,1
54000,144.50,-37.29,3
64800,144.50,-37.29,1
32400,144.51,-37.99,4
36000,144.51,-37.99,1
50400,144.51,-37.99,2
61200,144.51,-37.99,1
75600,144.51,-37.99,1
25200,144.51,-37.98,1
36000,144.51,-37.98,1
57600,144.51,-37.98,1
61200,144.51,-37.98,2
72000,144.51,-37.98,1
50400,144.51,-37.96,1
57600,144.51,-37.74,1
50400,144.51,-37.73,2
25200,144.51,-37.69,1
39600,144.51,-37.69,1
57600,144.51,-37.69,1
61200,144.51,-37.69,1
64800,144.51,-37.69,1
